    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
     -0.9534104789,       0.782380968,        1.75005645,       4.469382449,       1.987119283,       3.152158233
      -1.387401064,     0.03661459173,        1.06971912,       4.129807151,       1.893058542,       3.019020147
      -1.645860969,      0.1122021548,      0.7793527078,       3.919258521,       1.957149759,       3.067137432
      -1.538449882,      0.1010781935,      0.3610122667,       3.999975363,       1.922277126,       3.041042772
      -1.593292218,        0.14119634,      0.2828077474,       3.949721912,       1.932712697,       3.049289522
      -1.573414085,      0.1685991966,       0.253443796,       3.959296697,       1.898135909,       3.024696807
      -1.627080051,      0.2118576328,      0.3276488972,       3.906496903,        1.91583393,       3.037879733
      -1.593030484,      0.2447122463,      0.4329699403,       3.926399964,        1.81853134,       2.974592104
      -1.747061748,      0.2917155704,      0.7144648085,       3.782001288,       1.977489124,        3.08488547
      -1.491284027,      0.3143022419,       1.114451101,       3.998852383,       1.701215127,        2.96410735
       -1.53053901,      0.3807484779,        1.66150027,       3.885476209,       2.396006493,       3.463049752
     -0.9918207265,      0.4286480748,       1.886377864,        4.47506823,       2.483820395,       3.567005537
     -0.8911829972,      0.4480218322,        1.97476336,       4.576331788,       1.353319513,       2.850552348
      -2.168880164,      0.3847495024,       1.196711229,       3.245213914,       1.805112822,       2.975017235
      -1.727017504,      0.3553827967,      0.7617266447,       3.797627923,       1.635654824,       2.901591205
      -1.990667143,      0.3710697022,      0.5949435457,       3.560921209,        1.74041889,       2.944114487
      -1.807313794,      0.3679420553,      0.5610417945,       3.713962367,       1.580895293,       2.887947551
      -2.061597745,      0.3798340735,      0.6612077791,       3.476305205,       1.766542175,       2.958760547
      -1.748072962,      0.3762126539,      0.8619002865,       3.751646315,       1.541379641,       2.881082345
      -2.065114044,      0.3892370742,      0.5426698923,       3.449523703,       1.619859779,       2.902827431
       -1.93434359,      0.3863568696,      0.3334452765,       3.568972948,       1.572168646,        2.89061854
      -1.997339228,      0.3893569985,      0.2855465389,       3.504678233,       1.570747994,       2.891313382
       -1.99112899,      0.3899221564,      0.2767334742,       3.506395663,        1.55169966,       2.887748409
      -2.011285767,       0.390988891,      0.2755901731,       3.482822106,       1.539183806,       2.885918165
      -2.021705829,      0.3915200063,      0.2746441381,       3.468749944,       1.524170672,       2.883687022
      -2.035824691,      0.3918963635,      0.2736779815,       3.451139704,       1.510096081,       2.881799975
      -2.048557278,      0.3919932696,      0.2724135583,       3.434974015,       1.495701571,       2.879984051
      -2.061770547,      0.3918674551,       0.270900663,       3.418422537,       1.481501218,        2.87832571
      -2.074715287,      0.3915103935,      0.2691275648,       3.402238477,       1.467342579,       2.876783836
      -2.087622936,      0.3909369177,      0.2671069655,       3.386202521,       1.453327879,       2.875362074
      -2.100351175,      0.3901531285,      0.2648449117,       3.370470094,        1.43946566,          2.874048
      -2.112894564,      0.3891679674,      0.2623493682,       3.355060417,       1.425802386,       2.872834752
       -2.12519209,      0.3879889822,      0.2596276667,       3.340049701,         1.4123723,       2.871713483
      -2.137200251,      0.3866238604,      0.2566871478,       3.325497026,        1.39921598,        2.87067613
      -2.148866052,      0.3850798677,      0.2535350027,       3.311471211,       1.386372752,       2.869714513
      -2.160138037,      0.3833640595,      0.2501782896,       3.298039025,       1.373882875,       2.868820734
      -2.170963166,      0.3814832136,      0.2466239386,       3.285267657,         1.3617859,       2.867987102
      -2.181289263,      0.3794438675,      0.2428787479,        3.27322146,       1.350120373,        2.86720621
      -2.191065558,      0.3772523183,      0.2389493931,       3.261960598,       1.338922947,        2.86647096
      -2.200244107,      0.3749146373,      0.2348424326,       3.251538825,       1.328227658,        2.86577459
      -2.208780977,      0.3724366796,      0.2305643172,       3.242001617,       1.318065126,        2.86511069
      -2.216637541,      0.3698240954,         0.2261214,       3.233384363,       1.308461815,       2.864473222
      -2.223781655,      0.3670823403,      0.2215199473,       3.225710922,       1.299439359,       2.863856527
      -2.230188705,      0.3642166851,      0.2167661505,       3.218992596,       1.291013989,       2.863255326
      -2.235842432,      0.3612322266,      0.2118661378,       3.213227655,        1.28319611,       2.862664729
      -2.240735474,      0.3581338961,      0.2068259872,       3.208401414,       1.275990037,       2.862080223
      -2.244869597,       0.354926469,      0.2016517389,         3.2044869,       1.269393916,       2.861497675
      -2.248255586,      0.3516145731,       0.196349408,       3.201446004,       1.261241291,       2.860881458
      -2.250913055,      0.3481977366,      0.1909248827,       3.199229986,       1.252846818,       2.860262099
      -2.252860571,      0.3446764059,      0.1853848878,       3.197789619,       1.246367278,       2.859668574
      -2.254132199,      0.3410557192,      0.1797360654,       3.197063226,       1.241667594,        2.85909247
